Model;Brand;Price;Foreign Currency;Date of Currency;Gear;Fuel;Engine Displacement;Transmission;Horsepower;Mortgage;Confiscation;Inspection;Year;Km;Area of Use;Colour;Top Speed;Luggage Volume;0-100;Max Torque;Cylinder;Tank;Consumption;Valve;Kaput;Tavan;Ön Tampon;Arka Tampon;Sağ Ön Çamurluk;Sağ Ön Kapı;Sağ Arka Kapı;Sağ Arka Çamurluk;Sol Ön Çamurluk;Sol Ön Kapı;Sol Arka Kapı;Sol Arka Çamurluk
a3;audi;1278000;30;11.01.2024;tiptronic;benzin;1,5;önden çekiş;150;hayır;hayır;23.06.2025;2020;93228;sedan;mavi;224;425;;250;4;50;6.2 (şi̇) / 4.3 (şd);16;saglam;saglam;çizik;çizik;saglam;saglam;saglam;saglam;saglam;saglam;saglam;lokal boyalı, çizik
a3;audi;1274000;30;11.01.2024;tiptronic;benzin;1,5;önden çekiş;150;hayır;hayır;16.06.2025;2020;19707;hatchback;metalik glacier beyazı;220;380;;250;4;50;6 (şi̇) / 4.1 (şd);16;saglam;saglam;boyalı, çizik;çizik;çizik;saglam;saglam;ezik;saglam;saglam;saglam;saglam
caravelle;volkswagen;1687000;30;11.01.2024;otomatik;dizel;2;4x4;199;hayır;hayır;28.06.2024;2019;83365;cityvan;gri;199;;;450;4;70;10.7 (şi̇) / 7.3 (şd);16;saglam;saglam;çizik;çizik;saglam;ezik;saglam;çizik;ezik;ezik;saglam;ezik
passat;volkswagen;1460000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;120;hayır;hayır;29.06.2025;2019;84000;sedan;gri;205;586;;250;4;59;4.6 (şi̇) / 3.8 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;boyalı;boyalı;saglam
passat;volkswagen;1457500;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;120;hayır;hayır;1.01.2024;2019;81245;sedan;gri;205;586;;250;4;59;4.6 (şi̇) / 3.8 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;boyalı;boyalı
passat;volkswagen;1399000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;120;hayır;hayır;2.12.2024;2019;82253;sedan;gri;205;586;;250;4;59;4.6 (şi̇) / 3.8 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam;saglam
passat;volkswagen;1391000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;120;hayır;hayır;19.11.2024;2019;84240;sedan;derin siyah;205;586;;250;4;59;4.6 (şi̇) / 3.8 (şd);16;saglam;saglam;boyalı, hasarlı;hasarlı;değişen;boyalı;saglam;saglam;saglam;çizik, ezik;saglam;saglam
tiguan;volkswagen;1380000;30;11.01.2024;otomatik;benzin;1,5;önden çekiş;150;hayır;hayır;11.03.2025;2019;101731;arazi aracı;siyah;200;615;;250;4;58;7 (şi̇) / 5.1 (şd);16;saglam;saglam;saglam;saglam;boyalı;saglam;saglam;saglam;boyalı;boyalı;saglam;saglam
passat;volkswagen;1353000;30;11.01.2024;otomatik;dizel;1,6;önden çekiş;120;hayır;hayır;13.05.2024;2019;133882;sedan;gri;205;586;;250;4;59;4.6 (şi̇) / 3.8 (şd);16;saglam;saglam;çizik;hasarlı;çizik, ezik;çizik, ezik;çizik, ezik;çizik, ezik;saglam;saglam;ezik;çizik, ezik
t-roc;volkswagen;1310000;30;11.01.2024;otomatik;benzin;1,5;önden çekiş;150;hayır;hayır;20.12.2020;2019;29930;arazi aracı;kırmızı;205;445;;250;4;50;6.6 (şi̇) / 4.6 (şd);16;saglam;saglam;saglam;saglam;saglam;saglam;çizik;çizik;saglam;saglam;saglam;saglam
